,0
0,1.05
1,3.05
2,3.05
3,3.4499999999999997
4,5.05
5,6.85
6,5.05
7,7.250000000000001
8,6.65
9,5.900000000000002
10,8.65
11,7.450000000000001
12,8.850000000000001
13,9.25
14,8.450000000000001
15,7.9
16,10.65
17,9.05
18,11.25
19,10.65
20,11.100000000000001
21,11.45
22,10.85
23,10.5
24,12.25
25,11.649999999999999
26,13.049999999999999
27,13.649999999999999
28,13.45
29,14.249999999999998
30,14.849999999999998
31,14.099999999999998
32,13.899999999999999
33,16.25
34,14.649999999999999
35,16.249999999999996
36,16.849999999999998
37,16.65
38,16.499999999999996
39,18.449999999999996
40,17.049999999999997
41,19.049999999999997
42,17.849999999999998
43,17.7
44,19.05
45,22.249999999999996
46,21.45
47,21.250000000000004
48,22.849999999999998
49,22.05
50,22.650000000000002
51,25.249999999999996
52,25.65
53,23.850000000000005
54,25.250000000000004
55,24.650000000000006
56,27.45
57,26.050000000000004
58,25.500000000000004
59,24.900000000000006
60,27.85
61,26.250000000000007
62,28.450000000000003
63,27.65000000000001
64,27.850000000000012
65,29.45000000000001
66,30.050000000000008
67,29.10000000000001
68,30.650000000000013
69,32.250000000000014
70,31.250000000000014
71,32.45000000000002
72,32.65000000000002
73,33.05000000000001
74,33.45000000000002
75,32.85000000000002
76,35.850000000000016
77,35.250000000000014
78,34.70000000000002
79,34.30000000000002
80,34.15000000000002
81,36.05000000000002
82,36.45000000000002
83,35.85000000000002
84,36.65000000000002
85,37.050000000000026
86,38.25000000000003
87,37.85000000000002
88,39.450000000000024
89,38.45000000000003
90,39.25000000000003
91,40.65000000000003
92,40.050000000000026
93,39.50000000000003
94,40.650000000000034
95,41.25000000000003
96,40.650000000000034
97,42.05000000000003
98,41.85000000000004
99,43.85000000000003
100,42.45000000000003
101,44.250000000000036
102,43.85000000000004
103,45.05000000000004
104,44.25000000000004
105,46.45000000000004
106,47.650000000000034
107,48.05000000000004
108,47.450000000000045
109,49.25000000000004
110,50.85000000000004
111,49.65000000000005
112,51.65000000000004
113,52.05000000000004
114,51.850000000000044
115,51.30000000000004
116,52.05000000000005
117,53.450000000000045
118,52.85000000000005
119,54.050000000000054
120,53.85000000000005
121,56.450000000000045
122,56.25000000000005
123,55.700000000000045
124,57.65000000000005
125,56.25000000000006
126,57.45000000000005
127,57.650000000000055
128,57.85000000000005
129,58.050000000000054
130,59.45000000000006
131,58.85000000000006
132,61.050000000000054
133,59.45000000000006
134,60.65000000000006
135,60.05000000000006
136,63.25000000000006
137,62.25000000000006
138,61.70000000000006
